Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Company,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total,Total,Receivables,Inventory,Cash & Bank,No. of Equity Shares,New Bonus Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:
2018-03-31 00:00:00,1373.66,800.22,-0.64,26.8,101.64,38.91,33.89,6.02,79.77,61.01,125.33,258.97,94.39,164.58,,ADANI TOTAL GAS LTD,256.74,768.94,1344.65,441.72,2812.05,2812.05,896.72,101.83,189.25,1624.25,2812.05,2812.05,141.16,42.16,24.48,256742040.0,,10.0,276.86,-987.65,778.84,68.05,
2019-03-31 00:00:00,1718.96,1087.21,-5.44,32.29,33.24,42.07,57.81,5.93,58.71,67.31,89.85,356.52,127.81,228.71,27.5,ADANI TOTAL GAS LTD,109.98,1001.5,393.92,552.24,2057.64,2057.64,980.18,190.47,185.5,701.49,2057.64,2057.64,82.79,43.96,159.76,1099810083.0,,1.0,356.1,791.01,-1077.14,69.97,128.7
2020-03-31 00:00:00,1874.55,1059.63,-0.34,35.39,40.53,47.8,90.41,5.69,44.39,50.7,41.05,547.4,111.16,436.24,27.5,ADANI TOTAL GAS LTD,109.98,1370.34,428.22,577.22,2485.76,2485.76,1198.01,342.06,291.0,654.69,2485.76,2485.76,61.17,41.3,89.47,1099810083.0,,1.0,492.4,-460.99,-102.04,-70.63,86.35
2021-03-31 00:00:00,1695.6,770.7,1.08,27.1,53.51,51.79,81.03,8.23,29.89,62.52,40.48,631.21,159.26,471.95,27.5,ADANI TOTAL GAS LTD,109.98,1842.44,529.07,740.76,3222.25,3222.25,1379.3,696.48,435.94,710.53,3222.25,3222.25,103.68,52.01,10.87,1099810083.0,,1.0,653.5,-770.5,38.61,-78.39,961.25
2012-03-31 00:00:00,1915.2,,,18.3,70.9,1226.1,202.4,104.5,38.5,69.5,0.5,261.5,43.0,218.5,16.2,MINDTREE LTD,40.5,916.7,44.9,332.5,1334.6,1334.6,259.1,8.5,308.2,758.8,1334.6,1334.6,407.8,,60.2,40543923.0,,10.0,206.3,-228.5,36.5,14.3,122.33
2013-03-31 00:00:00,2361.8,,,20.6,93.6,1427.4,194.4,173.4,35.0,62.4,1.0,424.0,84.7,339.3,49.8,MINDTREE LTD,41.5,1272.2,25.4,351.9,1691.0,1691.0,258.9,57.1,425.7,949.3,1691.0,1691.0,450.8,,125.2,41535055.0,,10.0,266.4,-188.9,-12.5,65.0,228.64
2014-03-31 00:00:00,3031.6,,,25.5,147.6,1782.0,319.9,146.6,49.6,80.9,0.4,578.3,127.5,450.8,104.25,MINDTREE LTD,41.7,1598.8,3.2,455.7,2099.4,2099.4,343.6,49.6,533.5,1172.7,2099.4,2099.4,600.4,,118.4,41689731.0,,10.0,321.9,-217.4,-111.3,-6.8,330.29
2015-03-31 00:00:00,3561.9,,,27.5,264.4,2071.0,336.1,153.7,83.5,101.8,0.1,690.8,154.5,536.3,142.29,MINDTREE LTD,83.7,1928.7,2.8,639.7,2654.9,2654.9,555.5,35.4,535.1,1528.9,2654.9,2654.9,696.3,,376.3,83732372.0,41765661.0,10.0,598.3,-202.8,-137.6,257.9,651.83
2016-03-31 00:00:00,4673.0,,,31.6,372.5,2799.1,443.8,205.0,83.9,165.8,16.0,723.1,170.6,552.5,268.48,MINDTREE LTD,167.8,2247.1,43.8,818.2,3276.9,3276.9,1162.0,23.2,232.8,1858.9,3276.9,3276.9,972.8,,233.2,167786176.0,83893088.0,10.0,421.4,-416.5,-172.0,-167.1,653.25
2017-03-31 00:00:00,5236.4,,,31.3,400.3,3412.5,472.8,215.0,55.3,185.8,19.1,554.9,136.3,418.6,168.0,MINDTREE LTD,168.0,2409.1,99.6,713.9,3390.6,3390.6,1022.0,19.2,592.7,1756.7,3390.6,3390.6,896.2,,250.8,168025546.0,,10.0,653.5,-458.8,-137.6,57.1,452.95
